Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_STATE,Geo_COUNTY,Geo_TRACT,SE_A03001B_001,SE_A03001B_002,SE_A03001B_003,SE_A03001B_004,SE_A03001B_005,SE_A03001B_006,SE_A03001B_007,SE_A03001B_008,SE_A03001B_009,SE_A03001B_010,SE_A14016_001,SE_B18002_001,SE_B18002_002,SE_B18002_003,SE_B13004_001,SE_B13004_002,SE_B13004_003,SE_B13004_004,SE_B13004_005
06037670202,14000US06037670202,Census Tract 6702.02,"Census Tract 6702.02, Los Angeles County, California",ca,140,0,ACSSF,5959,06,037,670202,55,35,20,0,0,0,0,0,35,0,,55,10,5,2556,90,199,289,2267
06037670324,14000US06037670324,Census Tract 6703.24,"Census Tract 6703.24, Los Angeles County, California",ca,140,0,ACSSF,5960,06,037,670324,254,225,0,0,29,0,0,0,203,22,116250,254,54,66,5109,269,369,638,4471
06037670326,14000US06037670326,Census Tract 6703.26,"Census Tract 6703.26, Los Angeles County, California",ca,140,0,ACSSF,5961,06,037,670326,136,91,0,0,32,0,13,0,91,0,,136,0,63,3514,295,106,401,3113
06037670328,14000US06037670328,Census Tract 6703.28,"Census Tract 6703.28, Los Angeles County, California",ca,140,0,ACSSF,5962,06,037,670328,240,220,0,0,20,0,0,0,123,97,130833,240,22,38,4900,165,144,309,4591
06037670403,14000US06037670403,Census Tract 6704.03,"Census Tract 6704.03, Los Angeles County, California",ca,140,0,ACSSF,5963,06,037,670403,115,73,0,0,36,0,0,6,61,12,177574,115,21,9,2763,157,92,249,2514
06037670405,14000US06037670405,Census Tract 6704.05,"Census Tract 6704.05, Los Angeles County, California",ca,140,0,ACSSF,5964,06,037,670405,232,171,15,0,46,0,0,0,171,8,52188,232,29,98,2795,67,175,242,2553
06037670406,14000US06037670406,Census Tract 6704.06,"Census Tract 6704.06, Los Angeles County, California",ca,140,0,ACSSF,5965,06,037,670406,28,23,5,0,0,0,0,0,23,0,170833,28,0,0,1858,61,38,99,1759
06037670407,14000US06037670407,Census Tract 6704.07,"Census Tract 6704.07, Los Angeles County, California",ca,140,0,ACSSF,5966,06,037,670407,1142,487,26,0,491,21,59,58,436,110,62313,1142,327,392,6179,394,460,854,5325
06037670411,14000US06037670411,Census Tract 6704.11,"Census Tract 6704.11, Los Angeles County, California",ca,140,0,ACSSF,5967,06,037,670411,231,168,0,0,63,0,0,0,158,10,137396,231,77,8,4542,125,375,500,4042
06037670413,14000US06037670413,Census Tract 6704.13,"Census Tract 6704.13, Los Angeles County, California",ca,140,0,ACSSF,5968,06,037,670413,348,231,0,0,108,0,0,9,218,13,149295,348,73,43,4767,189,164,353,4414
06037670416,14000US06037670416,Census Tract 6704.16,"Census Tract 6704.16, Los Angeles County, California",ca,140,0,ACSSF,5969,06,037,670416,565,314,59,0,143,0,38,11,292,60,73972,565,174,206,4370,341,431,772,3598
06037670500,14000US06037670500,Census Tract 6705,"Census Tract 6705, Los Angeles County, California",ca,140,0,ACSSF,5970,06,037,670500,24,20,0,0,0,0,0,4,20,0,,24,4,4,1630,26,113,139,1491
06037670602,14000US06037670602,Census Tract 6706.02,"Census Tract 6706.02, Los Angeles County, California",ca,140,0,ACSSF,5971,06,037,670602,576,424,60,0,52,0,0,40,401,23,91607,576,105,190,6707,426,162,588,6119
06037670701,14000US06037670701,Census Tract 6707.01,"Census Tract 6707.01, Los Angeles County, California",ca,140,0,ACSSF,5972,06,037,670701,390,240,0,0,48,0,102,0,196,161,,390,128,25,7076,322,655,977,6099
06037670702,14000US06037670702,Census Tract 6707.02,"Census Tract 6707.02, Los Angeles County, California",ca,140,0,ACSSF,5973,06,037,670702,74,60,0,0,14,0,0,0,28,32,,74,32,0,5555,105,78,183,5372
06037700101,14000US06037700101,Census Tract 7001.01,"Census Tract 7001.01, Los Angeles County, California",ca,140,0,ACSSF,5974,06,037,700101,3268,2953,81,0,61,0,86,87,2807,232,54425,3268,746,745,5265,743,1068,1811,3454
06037700102,14000US06037700102,Census Tract 7001.02,"Census Tract 7001.02, Los Angeles County, California",ca,140,0,ACSSF,5975,06,037,700102,2729,2096,231,0,87,0,189,126,1974,353,36625,2729,787,902,4240,885,756,1641,2599
06037700200,14000US06037700200,Census Tract 7002,"Census Tract 7002, Los Angeles County, California",ca,140,0,ACSSF,5976,06,037,700200,3988,3309,131,37,124,0,170,217,3031,550,63692,3988,830,1008,7082,977,694,1671,5411
